file,original_file,date,file_type,min_temp,max_temp,mean_temp,std_temp,valid_pixels,total_pixels,coverage,city
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-113_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024113.h25v06.061.2024122130427.hdf,2024-113,HDF,-15.75,56.57000000000005,36.19907929888128,9.30404973340706,1439642,1440000,0.9997513888888888,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-105_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024105.h25v06.061.2024115213812.hdf,2024-105,HDF,-13.20999999999998,51.25000000000006,34.82293885119249,9.331891389113933,1439423,1440000,0.9995993055555557,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-097_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024097.h25v06.061.2024106140559.hdf,2024-097,HDF,-21.129999999999967,64.57000000000005,32.13630285396637,9.729746810659824,1437333,1440000,0.9981479166666668,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-089_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024089.h25v06.061.2024099144213.hdf,2024-089,HDF,-19.609999999999985,49.21000000000004,32.002066646651016,9.40216234648074,1438872,1440000,0.9992166666666666,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-081_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024081.h25v06.061.2024094202832.hdf,2024-081,HDF,-25.069999999999965,47.71000000000004,28.726404401448733,9.962080909180695,1416988,1440000,0.9840194444444444,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-073_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024073.h25v06.061.2024085210304.hdf,2024-073,HDF,-24.92999999999998,45.31,27.83072307408737,8.862101146368083,1437695,1440000,0.9983993055555556,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-065_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024065.h25v06.061.2024074034045.hdf,2024-065,HDF,-24.84999999999997,45.13000000000005,25.8451865383118,8.962950087023174,1438096,1440000,0.9986777777777778,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-057_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024057.h25v06.061.2024066120514.hdf,2024-057,HDF,-29.829999999999984,41.31,23.869234938136096,8.634654786805344,1436459,1440000,0.9975409722222224,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-049_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024049.h25v06.061.2024061081553.hdf,2024-049,HDF,-33.54999999999998,41.910000000000025,22.13999333398019,9.612107700722104,1432639,1440000,0.9948881944444444,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-041_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024041.h25v06.061.2024051162359.hdf,2024-041,HDF,-33.589999999999975,37.63000000000005,20.782713220025105,8.27837048403159,1434082,1440000,0.9958902777777778,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-033_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024033.h25v06.061.2024044093241.hdf,2024-033,HDF,-33.68999999999997,37.09000000000003,18.927877700414424,9.064897758926207,1426170,1440000,0.9903958333333334,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-025_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024025.h25v06.061.2024038083619.hdf,2024-025,HDF,-31.74999999999997,34.97000000000003,16.944750222305153,8.799678299212427,1243786,1440000,0.8637402777777777,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-017_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024017.h25v06.061.2024027225051.hdf,2024-017,HDF,-38.00999999999996,32.23000000000002,15.495753376852678,9.434842934878963,974280,1440000,0.6765833333333333,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-009_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024009.h25v06.061.2024022175033.hdf,2024-009,HDF,-29.20999999999998,34.190000000000055,18.511927223601017,8.60434015900984,1135478,1440000,0.7885263888888889,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-001_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024001.h25v06.061.2024011195531.hdf,2024-001,HDF,-30.24999999999997,33.450000000000045,16.973913701062074,9.854892170618184,958714,1440000,0.6657736111111111,pune
